#,TASK,GENSPEED,INFSPEED,TTFT,TIME
1,introduction,6.06,7.50,1.09,10.40
2,explain in one sentence,5.74,7.25,0.97,6.62
3,explain in three paragraphs,6.68,6.99,1.08,38.19
4,say 'I am ready',0.91,95.10,3.75,4.40
5,summarize,5.43,19.34,3.35,29.11
6,Summarize in two sentences,4.34,36.18,3.57,12.91
7,Write in a list the three main key points -  format output,4.70,33.81,3.68,14.67
8,Table of Contents,4.53,31.53,3.70,15.67
9,RAG,4.55,29.55,3.72,17.60
10,Truthful RAG,0.71,108.37,3.77,4.25
11,write content from a reference,5.69,10.95,3.42,82.94
12,extract 5 topics,5.84,15.18,3.69,43.68
13,Creativity: 1000 words SF story,6.41,6.88,2.04,149.23
14,Reflection prompt,6.46,9.62,3.31,108.55
