,,,,,,,,,,
,,WITH SPECULATIVE DECODING,,,,,NO DRAFT MODEL,,,
#,TASK,GENSPEED,INFSPEED,TTFT,TIME,,GENSPEED,INFSPEED,TTFT,TIME
1,introduction,5.01,6.72,1.21,8.78,,6.06,7.5,1.09,10.4
2,explain in one sentence,4.4,5.56,1.15,8.64,,5.74,7.25,0.97,6.62
3,explain in three paragraphs,4.86,5.17,0.99,37.89,,6.68,6.99,1.08,38.19
4,say 'I am ready',0.9,94.3,3.8,4.43,,0.91,95.1,3.75,4.4
5,summarize,4.07,13.71,3.35,42.03,,5.43,19.34,3.35,29.11
6,Summarize in two sentences,3.25,27.14,3.64,17.2,,4.34,36.18,3.57,12.91
7,Write in a list the three main key points -  format output,4.25,29.14,3.67,17.16,,4.7,33.81,3.68,14.67
8,Table of Contents,3.59,24.95,3.6,19.8,,4.53,31.53,3.7,15.67
9,RAG,3.66,23.76,3.84,21.89,,4.55,29.55,3.72,17.6
10,Truthful RAG,0.73,112.25,3.8,4.11,,0.71,108.37,3.77,4.25
11,write content from a reference,4.43,8.72,3.41,101.72,,5.69,10.95,3.42,82.94
12,extract 5 topics,4.54,12.84,3.72,49.15,,5.84,15.18,3.69,43.68
13,Creativity: 1000 words SF story,4.54,4.79,2.05,279.29,,6.41,6.88,2.04,149.23
14,Reflection prompt,5.06,7.21,3.19,159.71,,6.46,9.62,3.31,108.55
